passenger ship	entertainment hall facilities
transportation device	people used by
transportation device	multiple capacity
jet engine	generate thrust purpose
ship compartment	operating purpose
regulatory process	regulations instruments
personal watercraft	hull shape design
canal system	tunnels structure
canal lock gate	operated by hand or machine structure
petroleum product	chemical category
glider airplane	recreation uses
transportation device	car type
hangar bay	made of metal structure
petroleum tanker ship	refining oil used for
cargo handling	large scale
guiding	confident style
transit shelter	near bus stop location
gallery car	multiple cars features
taking off	airplane mode of transportation
atmospheric region	high distance from earth
dry bulk cargo	truck mode of transportation
fishing vessel	day operating conditions
jet engine	accelerates airflow operation
flight deck	fire suppression safety features
refrigerated compartment	door seal design
freight car	haul freight function
common carrier	neutrality responsibilities
rocket engine	military applications
fixed bridge	abutments support
air traffic control tower	communication specialists staff
ship berthing	food and fuel facilities provided
terminal building	travel function
atmospheric region	middle layer
light fixture	linear shape
railroad bridge	connecting places function
organic object	reactive properties
transitway	freeway definition
tank car	metal body construction
pier	beach function
major air carrier	full-service operating model
minivan	chrysler brand examples
canal lock	paddles components
electric device	ergonomic design
shipping channel	wide width
vehicle registration	payment of fees requirements
train assembly	transportation function
cargo ship	ocean found in
refrigerated compartment	stores perishable items function
railroad track	continuous length
road junction	traffic lights landmark
relational attribute	database schema database management
transit route	regional covered area
international airport	shops facilities
keeping	item thing kept
containerization	shipping containers types
cabotage	economic growth purpose
railcar carrier ship	maritime firm operated by
signalling	air signal medium
private railcar	comfortable seating features
port city	trade function
head end car	railway vehicle type
vehicle carrier ship	propeller propulsion
water transportation system	ancient trade routes historical significance
mode of transit	foot type
truck trailer	logistics industry
road vehicle	two wheel
standard gauge railway	electrification features
cargo ship	making regular routes operation
cable ship	steel structure
ship compartment	providing amenities usage
atmospheric region	contains ozone characteristic
whaling ship	historic era
air route	leisure purpose
moving violation	public safety context
light fixture	table-top installation
international airport	hangar infrastructure
navigation light	manual operation
international airport	security checks safety
vehicle carrier ship	providing international trade usage
flight schedule	changed due to weather frequency
merchant marine	ship captain related occupations
cable ship	invented in 19th century history
managing	autocratic approach
government organization	national security responsibility
signalling	traffic light example
traffic control process	regulate traffic flow goal
gallery car	unique design
flight schedule	digital format
cargo manifest	receiver audience
fire boat	life raft equipment
passenger ship	local routes
container ship	huge size
railcar carrier ship	specifically designed for railcars design
cargo manifest	dimensions elements
partial container ship	logistics used for
offshore anchorage	ship anchorage used for
transportation authority	permits regulation
diesel fuel	hydrocarbons composition
department of transportation	enforcing traffic laws activities
fish factory ship	loading fish operations
spine car	more efficient transportation purpose
transit stop	easy to find visibility
shipping lane	trade route function
ore carrier ship	steel hull design
waterway junction	recreation human use
transportation schedule	online source
commercial airport	ground transportation infrastructure
flight schedule	reference purpose
arriving	nervousness anticipation
set	mathematics uses
containerization	reduced shipping costs advantages
passenger railway car	restaurant type
scale test car	wind tunnels testing areas
paved runway	long dimension
train assembly	electric motor propulsion
port embargo	targeted types
legal charge	law related to
long ton	weighing large objects commonly used for
shipping lane	fixed type
ship deck	recreation use
scale test car	education industries
electric device	heating element components
petroleum tanker ship	using propeller propulsion
jet engine	military used in
organic object	compost uses
atmospheric region	weather phenomena
traffic signal	portable type
chemical tanker ship	steel material
track gauge	foot measurement unit
radar or sonar	medium-range range
fuel tank	emptied when full maintenance
train station	passenger hub function
canal system	constant upkeep maintenance
shipping lane	well-marked features
chemical tanker ship	propeller propulsion
canal	innovative engineering feat
crane ship	heavy industry use
flatcar	hauling goods used for
intermodal transportation	airplanes equipment
tank car	sturdy construction design
dangerous goods	can cause poisoning properties
radar facility	radar equipment technology
passenger railway car	accommodations capacity
hangar bay	customizable size
transit stop	transferring purpose
road junction	stop sign traffic management
diesel fuel	dependent on market price
petroleum tanker ship	speed propulsion
body motion	studio location
ship cabin	ocean associated with
maritime blockade	to gain strategic advantage purpose
whaling ship	whale processing equipment features
arriving	after a wait circumstances
track gauge	broad gauge different types
petroleum product	energy industry
private railcar	locked doors security
hangar bay	enclosed space structure
refrigerated compartment	around 39°f temperature range
volume measure	subtraction mathematical operation
hangar bay	hatches equipment
single traffic lane	traffic laws regulation
petroleum product	powering usage
relational attribute	defines function
refrigerated compartment	kitchen placement
animal powered vehicle	desert environment
air traffic control tower	communication devices equipment
partial container ship	maritime transport use
pusher tug	iron material
electronic signalling	electrical signals definition
electronic signalling	radio waves medium
dining car	provide food and drink purpose
cab car	business trips used for
ship berthing	mooring lines security
passenger car	handling performance
mode of transit	polluting environmental impact
signalling	critical for communication importance
electrified railway	electricity powered mode of transport
cab car	transport goods purpose
intentional process	taking actions execution
contract carrier	warehousing business model
arriving	landing event
ship berthing	pier physical structure
motor scooter	parks location
intermodal transportation	reduced logistics costs cost
offshore anchorage	good weather conditions
railway junction	city location
intentional process	influences outcome importance
cabotage	subject to government approval regulations
taking off	launchpad location
transit route	gps navigation map
railroad track	ties structure
regulatory process	evaluation stages
waterway junction	navigation function
hoisting device	efficient characteristics
surfaced roadway	bike-friendly functionality
managing	project type
intentional process	execution features
offshore anchorage	wind direction features
set or class	can be modified properties
bulk cargo	gas type
hopper dredger	pollution cleanup operations
cargo container	store cargo purpose
lighter	portable portability
vehicle registration	annual renewal periodicity
commercial carrier	shipping fees revenue source
attaching	linking meaning
portable bridge	easy to transport portability
sea lane	enforced by national authorities regulation
broad gauge railway	less compatible with standard gauge disadvantages
port city	major source of income economy
transportation device	seatbelts features
crane ship	construction function
ship hull	provides buoyancy function
cabotage	job creation purpose
railway junction	historical significance history
radar facility	medium range range
broad gauge railway	less flexible disadvantages
traffic signal	metal material
registry ton	united kingdom origin
road transportation system	parking regulations regulation
cargo container	wood material
signalling	air traffic control practical uses
ship compartment	fuel contents
guiding	inner wisdom source
traffic signal	traffic laws regulations
pier	has restaurants feature
taking off	engine failure safety concern
legal charge	contract dispute associated with
intermodal transportation	freight industry
land area	lake relation to water
trade embargo	economic hardship effects
traffic control process	road conditions environmental factors
terminal building	convenient atmosphere
signalling	fast speed
hoisting device	industrial application
container ship	emitting pollution environmental impact
transportation device	loud noise
ship berth	anchored type
head end car	initiator role
ship berth	pilings equipment
road transportation system	long distance travel purpose
tugboat	harbor found in
railroad bridge	restored in 21st century history
fish factory ship	storage activities
port crane	heavy machinery type
portable bridge	spanning a gap purpose
crew list	availability information contained
road vehicle	seventeen seating capacity
canal system	trade economic importance
port city	tourist attractions attractiveness
airport classification	baggage claim features
commercial agent	business type
ship hold	large size
dangerous goods	specific storage required transportation regulations
international airport	quiet size
rail transportation system	ancient history
traffic signal	lights physical appearance
sea lane	international agreement regulation
coach railcar	windows features
transportation system	public operation
cable ship	shallow-water operations operations
fishing boat	marine vehicle type
deck crane	operator training safety
government organization	healthcare function
electronic device	projector output method
fish factory ship	trawling nets equipment
transportation company	logistics fees revenue source
containerization	waterproof features
etiologic agent	chronic disease disease caused
contract carrier	logistics industry
truck tractor	hauling purpose
passenger ship	anchors equipment
cargo handling	terminals locations
waterway junction	unique characteristics
deck crane	maritime industry
cable ship	providing internet connectivity purpose
cabotage	domestic cabotage types
attaching	stapler tool
transportation system	environmental impact characteristics
head end car	passenger used for
air traffic control procedure	icao international regulations
port crane	unloading used for
electronic signalling	amplitude mechanism
turbojet engine	developed in 1930s history
fishing vessel	transport function
light truck	medium payload capacity
railroad bridge	movable type
arriving	expected circumstance
hoisting device	sturdy characteristics
traffic control process	law enforcement responsibilities
taking off	departing process
attaching	join actions
flight deck	air traffic control radar equipment
jet engine	combustion chamber parts
merchant marine	support economy role
paved runway	wide size
parking garage	payment machine facilities
canal lock	water level control components
whaling ship	exploration purpose
flight schedule	airports information included
military watercraft	electric propulsion
moving violation	traffic police enforcement
dining car	table facilities
transportation company	passenger revenue stream
intentional process	to accomplish a task purpose
fish factory ship	loading operations
aid to navigation	hiking used for
petroleum tanker ship	officers crew
land area	square miles measurement unit
fixed bridge	safety purpose
navigation buoy	display information function
petroleum product	petroleum jelly forms
fish factory ship	export purpose
single traffic lane	vehicles move in one direction behavior
ship hatch	large type
canal lock	recreational boating used for
multiple track railway	major cities location
petroleum tanker ship	sea route location
mass measure	amount of weight physical property
petroleum product pipeline	concrete materials used
pusher tug	propeller parts
transit stop	ticket machine facilities
railroad bridge	emergency response maintenance
railroad track	straight design
mode of transit	sustainable environmental impact
rocket engine	complex design characteristic
head end car	rear of train location
crane ship	winches features
commercial carrier	flying passengers purpose
intermodal transportation	containerized goods types of goods
arriving	waiting actions involved
deck cargo	controlled security
shipping channel	recreation used for
canal	dug construction
navigation buoy	periodic replacement maintenance
department of transportation	providing transportation services functions
canal	required maintenance
government organization	regulation responsibilities
traffic light	safety importance
commercial airport	air traffic control features
gallery car	art exhibition purpose
transportation schedule	airport location
turbojet engine	high-temperature operating conditions
passenger car	car dealership located at
navigation	exploration uses
aid to navigation	cylindrical shape
ship register	ship name contains information about
whaling ship	baleen whaler type
mass measure	manual measurement method
taking off	explosive speed
single traffic lane	dangerous safety
railway junction	manual management
vehicle registration	offline methods of issuance
minivan	roomy size
petroleum product	refined from crude oil production method
truck tractor	high towing capacity features
jet engine	power plant located at
electrified railway	electric locomotive equipment
container ship	holds structure
general cargo ship	containers features
registry ton	heavy typical size
cargo container	locked security
major air carrier	region hub location
emergency road vehicle	preventing damage purpose
radar facility	tracking function
port crane	moving along rail movement
transportation system	speed vehicle characteristics
commercial carrier	consumers customer base
railroad company	passenger services
vehicle crew	compass equipment
passenger car	families with children purpose
air traffic control center	communication systems equipment
department of transportation	vehicle registration services
jet engine	high-speed operation
train station	glass roof architecture
canal	land location
fishing boat	medium speed
cargo container	repair maintenance
deck cargo	vessel transported by
crew list	names content
ship berth	water access
fuel tank	large capacity
railcar carrier ship	heavy cargo capacity
radio navigation beacon	transmitter components
jet engine	very loud noise level
tank car	storing propane used for
port embargo	boycott related concepts
transportation authority	convenience goals
etiologic agent	endemic impact
bill of lading	shipper issuer
ship compartment	engine type
organic compound	ring-like structure
private railcar	restrooms features
transportation system	sea route
transportation system	emergency response purpose
contract carrier	providing transportation services purpose
private railcar	companies owned by
arriving	delayed state
canal	water transportation purpose
research ship	accommodation for crew features
flight schedule	flight durations contents
paved runway	smooth surface texture
cubic foot	shipping common applications
bulk cargo	ships transportation method
ship deck	cabins features
containerization	docker example
rail transportation system	electrified operation
ship berthing	facilitates cargo exchange importance
vehicle carrier ship	maritime trade function
transit route	on-demand schedule
offshore supply ship	providing supplies purpose
flight schedule	booking used for
transitway	frequently patrolled maintenance
multiple track railway	station location
diesel engine	low emissions advantage
dining car	convenient type of food
petroleum tanker ship	supporting economy purpose
research ship	monitor environment functions
airport classification	scheduled operations
truck tractor	towing functions
managing	project management software tools used
minivan	honda odyssey types
train assembly	train station located at
radar	military operations uses
deck crane	mechanical design
offshore anchorage	easy access features
common carrier	taxi service examples
single traffic lane	highway located at
cargo handling	terminals facilities
fishing trawler	safety nets safety
internal attribute	read-write access
intermodal transportation	reducing transportation costs purpose
railroad track	infrequent maintenance
railcar carrier ship	thousands of railcars capacity
hopper dredger	large size characteristics
fishing trawler	skilled crew
terminal building	public transportation access
trade embargo	governmental implementation
trade embargo	unilateral action enforcement
fixed bridge	pillars support
emergency vehicle	quick response time
etiologic agent	replication mechanism of action
light truck	farming typical uses
ship hull	provides stability function
containerization	rkt implementation
light fixture	dimmable features
scale test car	non-moving function
railway vehicle	railway station location
trade embargo	country enforced on
port city	vibrant culture
light truck	off-road purpose
organic object	renew fate
refrigerated compartment	cooling system characteristics
transportation company	cargo services
transit shelter	providing information function
signalling	medium involves
local transit system	large capacity
bulkhead	separates compartments function
passenger ship	aircraft carrier features
ore carrier ship	hopper holds features
organic compound	odorless properties
attaching	bind actions
canal structure	recreation purpose
mode of transit	tourism used for
radio navigation beacon	long-range characteristics
signalling	internet channel
organizational process	employee roles
deepwater port	petroleum terminal features
passenger railway car	soft seats comfort
attaching	machine location
aid to navigation	spacecraft location
single traffic lane	lane restrictions regulation
electronic device	handheld location
deck cargo	lift-on/lift-off handling method
vehicle carrier ship	harbor related to
air traffic control center	coordinate air traffic function
parking garage	credit card payment options
canal lock	pump structure
electric motor	produces mechanical motion operation
taking off	thrilling characteristics
material handling equipment	conveyor type
bulk cargo	massive weight
vehicle crew	technical skill
animal powered vehicle	historic purpose
electronic signalling	power transmission uses
bulk cargo	heavy characteristics
fire boat	volunteer crew
deck cargo	breakbulk cargo types
water transportation system	waterways features
flatcar	logistics industry
ship deck	horizontal layout
canal	commercial purpose
offshore support ship	varies in size size
intermodal transportation	improved reliability benefits
